Time_spent_Alone,Stage_fear,Social_event_attendance,Going_outside,Drained_after_socializing,Friends_circle_size,Post_frequency,Personality
1.0,False,4.0,5.0,False,6.268862911795962,10.0,Extrovert
9.0,True,1.0,3.0,True,2.0,2.0,Introvert
6.0,True,2.0,2.0,True,2.0,1.0,Introvert
8.0,True,2.0,1.0,True,5.0,3.0,Introvert
0.0,False,8.0,6.0,False,6.0,10.0,Extrovert
4.0,False,7.0,4.0,False,13.0,10.0,Extrovert
10.0,True,1.0,2.0,True,2.0,0.0,Introvert
5.0,True,1.0,3.0,True,3.0,3.0,Introvert
1.0,False,5.0,6.0,False,8.0,10.0,Extrovert
6.0,True,1.0,0.0,True,3.0,1.0,Introvert
0.0,False,7.0,4.0,False,10.0,10.0,Extrovert
9.0,True,0.0,2.0,True,3.0,2.0,Introvert
8.0,True,3.0,1.0,True,1.0,2.0,Introvert
6.0,True,3.0,3.0,True,4.0,3.0,Introvert
3.0,False,10.0,4.0,False,10.0,5.0,Extrovert
9.0,True,3.0,2.0,True,4.0,3.0,Introvert
2.0,False,10.0,6.0,False,10.0,9.0,Extrovert
2.0,False,5.0,7.0,False,10.0,5.0,Extrovert
4.505816002819881,False,9.0,4.0,False,7.0,5.0,Extrovert
1.0,False,9.0,5.0,False,9.0,10.0,Extrovert
9.0,True,2.0,3.0,True,4.0,2.0,Introvert
7.0,True,3.0,1.0,True,2.0,3.0,Introvert
2.0,False,7.0,5.0,False,7.0,9.0,Extrovert
3.0,False,5.0,6.0,False,6.0,5.0,Extrovert
10.0,True,3.0,1.0,True,0.0,2.0,Introvert
0.0,False,10.0,6.0,False,6.0,4.0,Extrovert
5.0,True,1.0,3.0,True,4.0,3.0,Introvert
0.0,False,4.0,6.0,False,6.0,5.0,Extrovert
7.0,True,3.0,2.0,True,1.0,2.0,Introvert
8.0,True,3.0,3.0,True,4.0,0.0,Introvert
1.0,False,3.963354474982382,5.0,False,11.0,8.0,Extrovert
2.0,False,10.0,5.0,False,12.0,5.0,Extrovert
8.0,True,0.0,1.0,True,0.0,2.0,Introvert
10.0,True,2.0,0.0,True,3.0,1.0,Introvert
7.0,True,3.0,3.0,True,2.0,0.0,Introvert
6.0,True,1.0,2.0,True,5.0,0.0,Introvert
0.0,False,5.0,4.0,False,9.0,10.0,Extrovert
8.0,True,0.0,1.0,True,5.0,0.0,Introvert
4.0,False,9.0,6.0,False,11.0,6.0,Extrovert
5.0,True,2.0,0.0,True,2.0,0.0,Introvert
1.0,False,8.0,4.0,False,11.0,10.0,Extrovert
0.0,False,5.0,6.0,False,9.0,7.0,Extrovert
7.0,True,1.0,0.0,False,3.0,1.0,Introvert
4.0,False,4.0,7.0,False,6.0,8.0,Extrovert
3.0,False,4.0,4.0,False,12.0,5.0,Extrovert
4.0,False,9.0,4.0,False,8.0,10.0,Extrovert
0.0,False,6.0,5.0,False,11.0,8.0,Extrovert
1.0,False,4.0,6.0,False,15.0,8.0,Extrovert
3.0,False,7.0,6.0,False,6.268862911795962,9.0,Extrovert
5.0,True,1.0,3.0,True,4.0,0.0,Introvert
0.0,False,7.0,6.0,False,10.0,4.0,Extrovert
9.0,True,1.0,1.0,True,1.0,3.0,Introvert
3.0,False,5.0,5.0,False,8.0,5.0,Extrovert
1.0,False,8.0,6.0,False,9.0,6.0,Extrovert
3.0,False,7.0,6.0,False,11.0,10.0,Extrovert
1.0,False,5.0,3.0,False,10.0,9.0,Extrovert
3.0,False,10.0,6.0,False,14.0,7.0,Extrovert
4.0,False,10.0,7.0,False,8.0,10.0,Extrovert
8.0,True,1.0,0.0,True,4.0,2.0,Introvert
5.0,True,2.0,2.0,True,0.0,3.0,Introvert
1.0,False,3.963354474982382,6.0,False,8.0,8.0,Extrovert
0.0,False,4.0,7.0,False,13.0,4.0,Extrovert
5.0,True,1.0,3.0,True,5.0,2.0,Introvert
7.0,True,1.0,2.0,True,3.0,3.0,Introvert
0.0,False,6.0,7.0,False,12.0,9.0,Extrovert
0.0,False,4.0,6.0,False,13.0,5.0,Extrovert
0.0,False,6.0,7.0,False,9.0,4.0,Extrovert
3.0,False,4.0,5.0,False,10.0,6.0,Extrovert
9.0,True,0.0,3.0,True,1.0,0.0,Introvert
3.0,False,6.0,7.0,False,15.0,5.0,Extrovert
4.0,False,9.0,7.0,False,13.0,5.0,Extrovert
1.0,False,7.0,7.0,False,9.0,5.0,Extrovert
7.0,True,0.0,3.0,True,1.0,0.0,Introvert
3.0,False,6.0,4.0,False,8.0,10.0,Extrovert
4.0,False,5.0,5.0,False,15.0,8.0,Extrovert
1.0,False,7.0,5.0,False,6.0,9.0,Extrovert
5.0,True,0.0,2.0,True,0.0,2.0,Introvert
10.0,True,0.0,3.0,True,0.0,1.0,Introvert
3.0,False,8.0,4.0,False,12.0,4.0,Extrovert
6.0,True,1.0,2.0,True,5.0,1.0,Introvert
10.0,True,2.0,3.0,True,2.0,2.0,Introvert
3.0,False,5.0,7.0,False,8.0,4.0,Extrovert
7.0,True,2.0,3.0,True,1.0,2.0,Introvert
3.0,False,6.0,6.0,False,10.0,7.0,Extrovert
4.505816002819881,True,3.0,0.0,True,2.0,1.0,Introvert
4.0,False,9.0,7.0,False,10.0,5.0,Extrovert
4.0,False,4.0,7.0,False,15.0,8.0,Extrovert
10.0,True,0.0,1.0,True,5.0,3.0,Introvert
4.0,False,7.0,6.0,False,7.0,9.0,Extrovert
3.0,False,5.0,7.0,False,13.0,7.0,Extrovert
5.0,True,3.963354474982382,0.0,True,2.0,2.0,Introvert
8.0,True,1.0,1.0,True,2.0,3.0,Introvert
4.0,False,9.0,5.0,False,10.0,7.0,Extrovert
2.0,False,10.0,6.0,False,11.0,8.0,Extrovert
6.0,True,0.0,1.0,True,1.0,1.0,Introvert
10.0,True,2.0,1.0,True,5.0,3.0,Introvert
9.0,True,3.0,2.0,True,3.0,2.0,Introvert
6.0,True,3.0,2.0,True,1.0,1.0,Introvert
4.0,False,10.0,4.0,False,9.0,8.0,Extrovert
2.0,False,10.0,7.0,False,6.0,4.0,Extrovert
10.0,True,3.0,3.0,True,5.0,3.0,Introvert
3.0,False,7.0,5.0,False,6.0,9.0,Extrovert
2.0,False,10.0,6.0,False,12.0,5.0,Extrovert
3.0,False,5.0,6.0,False,8.0,6.0,Extrovert
3.0,False,6.0,7.0,False,15.0,9.0,Extrovert
9.0,True,1.0,0.0,True,0.0,0.0,Introvert
5.0,True,0.0,3.0,True,4.0,3.0,Introvert
0.0,False,6.0,7.0,False,8.0,7.0,Extrovert
1.0,False,4.0,7.0,False,10.0,7.0,Extrovert
7.0,True,2.0,2.0,True,3.0,2.0,Introvert
2.0,False,6.0,4.0,False,13.0,5.0,Extrovert
4.0,False,5.0,7.0,False,13.0,8.0,Extrovert
9.0,True,2.0,3.0,True,0.0,1.0,Introvert
4.0,False,8.0,7.0,False,11.0,7.0,Extrovert
8.0,True,1.0,2.0,True,3.0,3.0,Introvert
5.0,True,3.0,1.0,True,2.0,1.0,Introvert
2.0,False,6.0,7.0,False,11.0,10.0,Extrovert
2.0,False,10.0,4.0,False,11.0,10.0,Extrovert
2.0,False,9.0,5.0,False,8.0,10.0,Extrovert
5.0,True,2.0,2.0,True,1.0,2.0,Introvert
6.0,True,3.0,0.0,True,5.0,0.0,Introvert
3.0,False,10.0,5.0,False,14.0,4.0,Extrovert
6.0,True,3.0,3.0,True,1.0,0.0,Introvert
6.0,True,1.0,3.0,True,1.0,3.0,Introvert
0.0,False,7.0,7.0,False,9.0,8.0,Extrovert
10.0,True,0.0,3.0,True,4.0,3.0,Introvert
9.0,True,2.0,2.0,True,1.0,1.0,Introvert
1.0,False,5.0,7.0,False,9.0,7.0,Extrovert
6.0,True,1.0,3.0,True,3.0,3.0,Introvert
1.0,False,8.0,4.0,False,10.0,8.0,Extrovert
4.505816002819881,False,4.0,7.0,False,7.0,5.0,Extrovert
3.0,False,6.0,6.0,False,13.0,9.0,Extrovert
6.0,True,1.0,3.0,True,0.0,2.0,Introvert
1.0,False,5.0,5.0,False,15.0,5.0,Extrovert
8.0,True,2.0,2.0,True,1.0,1.0,Introvert
1.0,False,9.0,4.0,False,13.0,6.0,Extrovert
2.0,False,8.0,6.0,False,13.0,10.0,Extrovert
2.0,False,9.0,7.0,False,13.0,10.0,Extrovert
2.0,False,6.0,7.0,False,8.0,9.0,Extrovert
4.505816002819881,False,8.0,5.0,False,9.0,4.0,Extrovert
3.0,False,8.0,4.0,False,7.0,4.0,Extrovert
6.0,True,0.0,0.0,True,2.0,3.0,Introvert
7.0,True,0.0,2.0,True,3.0,2.0,Introvert
3.0,False,8.0,7.0,False,7.0,10.0,Extrovert
10.0,True,1.0,0.0,True,0.0,3.0,Introvert
9.0,True,2.0,0.0,True,2.0,1.0,Introvert
10.0,True,0.0,1.0,True,1.0,1.0,Introvert
7.0,True,2.0,1.0,True,1.0,2.0,Introvert
2.0,False,10.0,7.0,False,10.0,4.0,Extrovert
4.0,False,8.0,7.0,False,6.0,10.0,Extrovert
3.0,False,8.0,4.0,False,9.0,7.0,Extrovert
0.0,False,5.0,6.0,False,9.0,4.0,Extrovert
9.0,True,2.0,3.0,True,2.0,1.0,Introvert
8.0,True,0.0,0.0,True,1.0,2.0,Introvert
1.0,False,6.0,7.0,False,13.0,10.0,Extrovert
6.0,True,3.0,2.0,True,3.0,1.0,Introvert
6.0,True,2.0,2.0,True,1.0,1.0,Introvert
10.0,True,0.0,0.0,True,3.0,0.0,Introvert
3.0,False,6.0,3.0,False,10.0,6.0,Extrovert
7.0,True,0.0,2.0,True,3.0,0.0,Introvert
8.0,True,2.0,1.0,True,3.0,2.0,Introvert
6.0,True,2.0,0.0,True,3.0,1.0,Introvert
8.0,True,1.0,1.0,True,2.0,1.0,Introvert
7.0,True,0.0,0.0,True,2.0,1.0,Introvert
8.0,False,0.0,3.0,True,3.0,2.0,Introvert
5.0,True,2.0,1.0,True,2.0,2.0,Introvert
4.505816002819881,True,2.0,2.0,True,1.0,2.0,Introvert
8.0,True,2.0,2.0,True,1.0,0.0,Introvert
5.0,True,0.0,1.0,True,2.0,1.0,Introvert
4.0,True,1.0,0.0,True,2.0,2.0,Introvert
7.0,True,2.0,0.0,True,3.0,2.0,Introvert
9.0,True,0.0,1.0,True,2.0,1.0,Introvert
9.0,True,1.0,1.0,True,2.0,0.0,Introvert
5.0,True,1.0,1.0,True,2.0,1.0,Introvert
7.0,True,1.0,2.0,True,3.0,1.0,Introvert
7.0,True,0.0,1.0,True,1.0,0.0,Introvert
5.0,True,2.0,0.0,True,2.0,0.0,Introvert
7.0,True,0.0,0.0,True,1.0,2.0,Introvert
8.0,True,0.0,0.0,True,3.0,0.0,Introvert
4.0,True,2.0,2.0,True,6.268862911795962,0.0,Introvert
6.0,True,2.0,0.0,True,3.0,0.0,Introvert
5.0,True,2.0,1.0,True,1.0,2.0,Introvert
4.0,True,1.0,0.0,True,3.0,2.0,Introvert
9.0,True,0.0,2.0,True,2.0,2.0,Introvert
6.0,False,0.0,2.0,True,1.0,2.0,Introvert
9.0,True,2.0,0.0,True,1.0,1.0,Introvert
9.0,True,2.0,2.0,True,1.0,2.0,Introvert
5.0,True,1.0,0.0,True,3.0,2.0,Introvert
4.0,True,0.0,1.0,True,1.0,2.0,Introvert
8.0,True,2.0,2.0,False,1.0,0.0,Introvert
6.0,True,2.0,1.0,True,2.0,1.0,Introvert
8.0,True,1.0,0.0,True,1.0,1.0,Introvert
7.0,True,1.0,1.0,True,3.0,3.564726631393298,Introvert
7.0,True,0.0,2.0,True,2.0,0.0,Introvert
4.0,True,0.0,2.0,True,2.0,3.564726631393298,Introvert
7.0,True,0.0,0.0,True,3.0,2.0,Introvert
9.0,True,2.0,0.0,True,2.0,0.0,Introvert
4.0,True,2.0,1.0,True,3.0,2.0,Introvert
9.0,True,0.0,0.0,True,2.0,0.0,Introvert
5.0,True,1.0,2.0,True,2.0,2.0,Introvert
4.0,True,0.0,0.0,True,1.0,2.0,Introvert
4.0,True,1.0,1.0,True,2.0,2.0,Introvert
8.0,True,0.0,0.0,True,3.0,1.0,Introvert
5.0,True,0.0,1.0,True,2.0,2.0,Introvert
7.0,True,2.0,2.0,True,3.0,0.0,Introvert
9.0,True,0.0,1.0,True,2.0,1.0,Introvert
6.0,True,2.0,0.0,True,1.0,2.0,Introvert
9.0,True,0.0,2.0,True,3.0,2.0,Introvert
5.0,True,2.0,2.0,True,3.0,2.0,Introvert
7.0,True,0.0,0.0,True,3.0,1.0,Introvert
4.0,True,2.0,0.0,True,1.0,1.0,Introvert
9.0,True,1.0,2.0,True,3.0,1.0,Introvert
4.0,True,0.0,1.0,True,1.0,1.0,Introvert
7.0,True,0.0,0.0,True,3.0,2.0,Introvert
4.0,True,0.0,2.0,True,3.0,2.0,Introvert
7.0,True,1.0,0.0,True,3.0,0.0,Introvert
7.0,True,1.0,1.0,True,3.0,1.0,Introvert
4.0,True,2.0,0.0,True,1.0,1.0,Introvert
9.0,True,1.0,1.0,True,2.0,2.0,Introvert
8.0,True,0.0,0.0,True,1.0,1.0,Introvert
8.0,True,2.0,2.0,True,1.0,0.0,Introvert
7.0,True,2.0,2.0,True,2.0,2.0,Introvert
9.0,True,1.0,1.0,True,2.0,1.0,Introvert
8.0,True,2.0,1.0,True,3.0,2.0,Introvert
5.0,True,0.0,1.0,True,1.0,2.0,Introvert
4.0,True,0.0,0.0,True,3.0,2.0,Introvert
4.0,True,0.0,1.0,True,1.0,1.0,Introvert
8.0,True,1.0,2.0,True,1.0,0.0,Introvert
8.0,True,0.0,1.0,True,1.0,3.564726631393298,Introvert
6.0,True,0.0,2.0,True,1.0,0.0,Introvert
4.0,True,2.0,1.0,True,1.0,1.0,Introvert
9.0,True,1.0,2.0,True,2.0,1.0,Introvert
9.0,True,2.0,1.0,True,3.0,2.0,Introvert
5.0,True,1.0,3.0,True,1.0,0.0,Introvert
4.0,True,2.0,1.0,True,3.0,0.0,Introvert
5.0,True,2.0,1.0,True,3.0,1.0,Introvert
4.0,True,0.0,1.0,True,3.0,0.0,Introvert
7.0,True,0.0,0.0,True,6.268862911795962,1.0,Introvert
7.0,True,2.0,2.0,True,3.0,1.0,Introvert
5.0,True,2.0,2.0,True,2.0,2.0,Introvert
4.0,True,1.0,2.0,True,2.0,0.0,Introvert
9.0,False,1.0,1.0,True,2.0,0.0,Introvert
7.0,True,1.0,1.0,True,3.0,1.0,Introvert
6.0,True,0.0,0.0,True,1.0,0.0,Introvert
7.0,True,1.0,0.0,True,2.0,2.0,Introvert
6.0,True,2.0,0.0,True,2.0,1.0,Introvert
9.0,True,2.0,0.0,True,3.0,2.0,Introvert
7.0,True,1.0,2.0,True,2.0,0.0,Introvert
5.0,True,0.0,1.0,True,3.0,2.0,Introvert
4.0,True,0.0,0.0,True,2.0,1.0,Introvert
4.0,True,2.0,1.0,True,2.0,1.0,Introvert
4.0,True,0.0,0.0,True,1.0,0.0,Introvert
8.0,True,3.963354474982382,0.0,True,6.268862911795962,3.564726631393298,Introvert
7.0,True,1.0,2.0,True,1.0,1.0,Introvert
4.0,True,0.0,1.0,True,1.0,2.0,Introvert
4.0,True,1.0,1.0,True,2.0,0.0,Introvert
7.0,True,1.0,1.0,True,1.0,2.0,Introvert
7.0,True,0.0,1.0,True,2.0,0.0,Introvert
5.0,True,1.0,1.0,True,1.0,1.0,Introvert
3.0,False,4.0,5.0,False,6.0,4.0,Extrovert
3.0,False,3.0,7.0,False,8.0,7.0,Extrovert
3.0,False,4.0,4.0,False,7.0,5.0,Extrovert
3.0,False,6.0,5.0,False,6.0,6.0,Extrovert
0.0,False,3.0,4.0,False,6.0,5.0,Extrovert
0.0,False,6.0,6.0,False,4.0,3.0,Extrovert
3.0,False,4.0,6.0,False,7.0,7.0,Extrovert
0.0,False,6.0,6.0,False,9.0,4.0,Extrovert
0.0,False,5.0,5.0,False,6.268862911795962,9.0,Extrovert
0.0,False,4.0,7.0,False,8.0,4.0,Extrovert
1.0,False,4.0,3.0,False,6.268862911795962,5.0,Extrovert
0.0,False,6.0,3.0,False,8.0,4.0,Extrovert
0.0,False,5.0,4.0,False,7.0,3.0,Extrovert
0.0,False,7.0,4.0,False,7.0,4.0,Extrovert
0.0,False,3.0,7.0,False,6.0,3.0,Extrovert
2.0,False,6.0,5.0,False,4.0,9.0,Extrovert
3.0,False,7.0,7.0,False,4.0,9.0,Extrovert
4.505816002819881,False,3.0,6.0,False,4.0,8.0,Extrovert
0.0,False,3.0,5.0,False,7.0,3.0,Extrovert
1.0,False,7.0,6.0,False,6.0,3.0,Extrovert
4.505816002819881,False,6.0,4.0,False,4.0,5.0,Extrovert
3.0,False,3.0,6.0,False,7.0,8.0,Extrovert
2.0,False,6.0,6.0,False,5.0,9.0,Extrovert
3.0,False,7.0,4.0,False,6.0,6.0,Extrovert
0.0,False,6.0,6.0,False,8.0,6.0,Extrovert
0.0,False,3.0,6.0,False,8.0,7.0,Extrovert
1.0,False,4.0,6.0,False,9.0,9.0,Extrovert
1.0,False,7.0,6.0,False,8.0,5.0,Extrovert
2.0,False,4.0,6.0,False,7.0,3.0,Extrovert
1.0,False,4.0,7.0,False,4.0,7.0,Extrovert
1.0,False,3.963354474982382,7.0,False,5.0,3.0,Extrovert
1.0,False,5.0,5.0,False,5.0,7.0,Extrovert
0.0,False,7.0,5.0,False,6.0,7.0,Extrovert
0.0,False,6.0,4.0,False,4.0,7.0,Extrovert
3.0,False,6.0,5.0,False,7.0,9.0,Extrovert
2.0,False,7.0,7.0,False,9.0,9.0,Extrovert
2.0,False,4.0,5.0,False,6.0,3.564726631393298,Extrovert
1.0,False,3.963354474982382,4.0,False,8.0,4.0,Extrovert
3.0,False,4.0,7.0,False,7.0,7.0,Extrovert
2.0,False,3.0,6.0,False,4.0,5.0,Extrovert
0.0,False,6.0,5.0,False,4.0,9.0,Extrovert
3.0,False,3.0,4.0,False,4.0,8.0,Extrovert
0.0,False,4.0,7.0,False,8.0,7.0,Extrovert
0.0,False,7.0,7.0,False,9.0,7.0,Extrovert
2.0,False,6.0,4.0,False,7.0,5.0,Extrovert
2.0,False,6.0,4.0,False,5.0,9.0,Extrovert
0.0,False,3.0,5.0,False,4.0,7.0,Extrovert
1.0,False,5.0,7.0,False,4.0,5.0,Extrovert
3.0,False,4.0,7.0,False,9.0,6.0,Extrovert
3.0,False,6.0,4.0,False,5.0,6.0,Extrovert
3.0,False,4.0,7.0,False,5.0,6.0,Extrovert
1.0,False,6.0,7.0,False,8.0,3.564726631393298,Extrovert
3.0,False,5.0,5.0,False,4.0,3.0,Extrovert
0.0,False,7.0,7.0,False,8.0,6.0,Extrovert
3.0,False,7.0,4.0,False,9.0,5.0,Extrovert
0.0,False,4.0,6.0,False,8.0,9.0,Extrovert
0.0,False,4.0,5.0,False,9.0,4.0,Extrovert
2.0,False,7.0,4.0,False,4.0,8.0,Extrovert
0.0,False,4.0,7.0,False,4.0,5.0,Extrovert
0.0,False,4.0,6.0,False,4.0,8.0,Extrovert
2.0,False,5.0,4.0,False,8.0,3.0,Extrovert
1.0,False,3.0,6.0,False,4.0,7.0,Extrovert
3.0,False,6.0,4.0,False,8.0,9.0,Extrovert
0.0,False,5.0,4.0,False,8.0,7.0,Extrovert
0.0,False,4.0,5.0,False,6.0,3.0,Extrovert
0.0,False,3.0,5.0,False,4.0,5.0,Extrovert
0.0,False,7.0,7.0,False,9.0,3.0,Extrovert
0.0,False,4.0,7.0,False,5.0,4.0,Extrovert
1.0,False,5.0,6.0,False,5.0,6.0,Extrovert
0.0,False,6.0,4.0,False,9.0,8.0,Extrovert
2.0,False,3.0,4.0,False,8.0,7.0,Extrovert
1.0,False,4.0,6.0,False,6.0,9.0,Extrovert
1.0,False,6.0,5.0,False,9.0,4.0,Extrovert
1.0,False,4.0,5.0,False,6.0,5.0,Extrovert
2.0,False,4.0,7.0,False,4.0,8.0,Extrovert
0.0,False,6.0,5.0,False,5.0,5.0,Extrovert
0.0,False,7.0,4.0,False,7.0,4.0,Extrovert
3.0,False,3.0,5.0,False,4.0,6.0,Extrovert
3.0,False,7.0,5.0,False,6.268862911795962,7.0,Extrovert
1.0,False,7.0,5.0,False,6.0,5.0,Extrovert
3.0,False,5.0,6.0,False,6.268862911795962,9.0,Extrovert
2.0,False,5.0,5.0,False,7.0,6.0,Extrovert
3.0,False,3.0,6.0,False,6.0,5.0,Extrovert
0.0,False,4.0,4.0,False,5.0,5.0,Extrovert
2.0,False,7.0,4.0,False,5.0,6.0,Extrovert
1.0,False,7.0,5.0,False,8.0,8.0,Extrovert
0.0,False,3.963354474982382,4.0,False,7.0,4.0,Extrovert
1.0,False,4.0,4.0,False,9.0,4.0,Extrovert
0.0,False,5.0,4.0,False,5.0,3.0,Extrovert
2.0,False,3.0,5.0,False,6.268862911795962,5.0,Extrovert
2.0,False,7.0,4.0,False,5.0,6.0,Extrovert
0.0,False,3.0,6.0,False,8.0,6.0,Extrovert
2.0,False,4.0,7.0,False,9.0,4.0,Extrovert
0.0,False,4.0,5.0,False,6.0,5.0,Extrovert
2.0,False,5.0,6.0,False,9.0,5.0,Extrovert
2.0,False,6.0,4.0,False,5.0,4.0,Extrovert
1.0,False,5.0,6.0,False,4.0,9.0,Extrovert
0.0,False,6.0,5.0,False,4.0,3.0,Extrovert
2.0,False,4.0,5.0,False,7.0,3.0,Extrovert
0.0,False,7.0,7.0,False,4.0,6.0,Extrovert
2.0,False,7.0,4.0,False,13.0,7.0,Extrovert
8.0,True,2.0,1.0,True,2.0,2.0,Introvert
6.0,True,2.0,0.0,True,6.268862911795962,2.0,Introvert
9.0,True,0.0,1.0,True,3.0,1.0,Introvert
1.0,False,5.0,7.0,False,10.0,3.0,Extrovert
3.0,False,5.0,5.0,False,14.0,3.0,Extrovert
2.0,False,6.0,6.0,False,8.0,6.0,Extrovert
10.0,True,3.0,0.0,True,2.0,0.0,Introvert
6.0,True,2.0,0.0,True,0.0,2.0,Extrovert
5.0,True,3.0,0.0,True,3.0,1.0,Introvert
5.0,True,1.0,0.0,True,1.0,0.0,Introvert
5.0,True,3.0,2.0,True,3.0,2.0,Extrovert
7.0,True,0.0,2.0,True,2.0,1.0,Introvert
4.0,True,3.0,1.0,True,3.0,1.0,Introvert
1.0,False,9.0,5.0,False,9.0,8.0,Extrovert
8.0,True,2.0,1.0,True,1.0,1.0,Extrovert
5.0,True,1.0,1.0,True,5.0,2.0,Introvert
3.0,False,4.0,5.0,False,13.0,7.0,Extrovert
3.0,False,8.0,5.0,False,10.0,4.0,Extrovert
4.0,True,3.0,0.0,True,0.0,0.0,Extrovert
2.0,False,8.0,4.0,False,14.0,9.0,Extrovert
0.0,False,4.0,7.0,False,13.0,9.0,Extrovert
6.0,True,2.0,0.0,True,2.0,2.0,Extrovert
4.0,True,2.0,0.0,True,1.0,2.0,Extrovert
1.0,False,4.0,7.0,False,12.0,3.0,Extrovert
11.0,True,3.0,1.0,True,0.0,2.0,Introvert
10.0,True,1.0,0.0,True,2.0,1.0,Introvert
6.0,True,2.0,0.0,True,2.0,0.0,Introvert
2.0,False,9.0,6.0,False,6.0,7.0,Extrovert
1.0,False,9.0,6.0,False,14.0,9.0,Extrovert
2.0,False,5.0,5.0,False,8.0,9.0,Extrovert
3.0,False,4.0,7.0,False,9.0,8.0,Extrovert
8.0,True,2.0,2.0,True,4.0,2.0,Extrovert
2.0,False,8.0,7.0,False,12.0,5.0,Extrovert
6.0,True,1.0,1.0,True,1.0,0.0,Introvert
1.0,False,4.0,4.0,False,11.0,6.0,Extrovert
3.0,False,7.0,7.0,False,9.0,8.0,Extrovert
1.0,False,6.0,7.0,False,12.0,6.0,Extrovert
0.0,False,9.0,4.0,False,6.0,3.0,Extrovert
2.0,False,9.0,4.0,False,9.0,7.0,Extrovert
0.0,False,6.0,6.0,False,11.0,5.0,Introvert
4.0,True,1.0,0.0,True,0.0,2.0,Introvert
5.0,True,3.0,2.0,True,2.0,1.0,Introvert
11.0,True,3.0,0.0,True,3.0,0.0,Introvert
9.0,True,0.0,1.0,True,3.0,1.0,Introvert
10.0,True,1.0,2.0,True,0.0,0.0,Introvert
4.0,True,3.0,0.0,True,2.0,3.564726631393298,Introvert
5.0,True,1.0,1.0,True,4.0,0.0,Introvert
0.0,False,6.0,5.0,False,7.0,7.0,Extrovert
7.0,True,1.0,1.0,True,3.0,2.0,Introvert
6.0,True,3.0,2.0,True,0.0,2.0,Introvert
9.0,True,3.0,0.0,True,3.0,1.0,Introvert
9.0,True,1.0,2.0,True,0.0,0.0,Introvert
3.0,False,6.0,5.0,False,8.0,6.0,Extrovert
3.0,False,6.0,7.0,False,8.0,4.0,Extrovert
2.0,False,6.0,7.0,False,12.0,6.0,Extrovert
4.0,True,0.0,2.0,True,1.0,0.0,Introvert
2.0,False,7.0,4.0,False,14.0,4.0,Extrovert
10.0,True,2.0,1.0,True,1.0,2.0,Introvert
10.0,True,3.0,1.0,True,0.0,0.0,Introvert
1.0,False,4.0,7.0,False,10.0,7.0,Extrovert
3.0,False,6.0,6.0,False,14.0,3.0,Extrovert
2.0,False,6.0,7.0,False,6.268862911795962,6.0,Extrovert
3.0,False,9.0,7.0,False,6.0,6.0,Extrovert
2.0,False,4.0,7.0,False,9.0,8.0,Extrovert
